PDC Study ID,Study ID,Study Submitter ID,Study Name,Embargo date,Project Name,Program Name,Disease Type,Primary Site,Analytical Fraction,Experiment Type,RAW,MZML,METADATA,PSM,Protein Assembly,Quality Metrics,Cases #
"PDC000128","dd0a228f-1fb3-11e9-b7f8-0a80fada099c","CPTAC CCRCC Discovery Study - Phosphoproteome S044-2","CPTAC CCRCC Discovery Study - Phosphoproteome","N/A","CPTAC3-Discovery","Clinical Proteomic Tumor Analysis Consortium","Other;Clear Cell Renal Cell Carcinoma","Not Reported;Kidney","Phosphoproteome","TMT10",299,299,14,598,5,2,124
"PDC000127","dbe94609-1fb3-11e9-b7f8-0a80fada099c","CPTAC CCRCC Discovery Study - Proteome S044-1","CPTAC CCRCC Discovery Study - Proteome","N/A","CPTAC3-Discovery","Clinical Proteomic Tumor Analysis Consortium","Other;Clear Cell Renal Cell Carcinoma","Not Reported;Kidney","Proteome","TMT10",575,575,14,1150,4,2,124
"PDC000126","cb7220f5-0cd1-11e9-a064-0a9c39d33490","UCEC Discovery - Phosphoproteome S043-2","CPTAC UCEC Discovery Study - Phosphoproteome","N/A","CPTAC3-Discovery","Clinical Proteomic Tumor Analysis Consortium","Uterine Corpus Endometrial Carcinoma;Other","Uterus, NOS;Not Reported","Phosphoproteome","TMT10",204,204,16,408,6,2,123
"PDC000125","c935c587-0cd1-11e9-a064-0a9c39d33490","UCEC Discovery - Proteome S043-1","CPTAC UCEC Discovery Study - Proteome","N/A","CPTAC3-Discovery","Clinical Proteomic Tumor Analysis Consortium","Uterine Corpus Endometrial Carcinoma;Other","Uterus, NOS;Not Reported","Proteome","TMT10",408,408,16,816,5,2,123
"PDC000124","de58670a-06ad-11ea-8c2e-0a7b46c3918d","UCEC Discovery - CompRef Proteome S043-1","CPTAC UCEC Discovery Study - CompRef Proteome ","N/A","CPTAC3-Discovery","Clinical Proteomic Tumor Analysis Consortium","Other","Not Reported","Proteome","TMT10",96,96,"",192,5,2,2
"PDC000123","de58a7ea-06ad-11ea-8c2e-0a7b46c3918d","UCEC Discovery - CompRef Phosphoproteome S043-2","CPTAC UCEC Discovery Study - CompRef Phosphoproteome","N/A","CPTAC3-Discovery","Clinical Proteomic Tumor Analysis Consortium","Other","Not Reported","Phosphoproteome","TMT10",48,48,"",96,6,2,2
"PDC000121","b91a0e5f-f3a0-11ea-b1fd-0aad30af8a83","Prospective Breast BI Phosphoproteome v2","Prospective Breast BI Phosphoproteome","N/A","CPTAC2 Confirmatory","Clinical Proteomic Tumor Analysis Consortium","Breast Invasive Carcinoma;Other","Breast;Not Reported","Phosphoproteome","TMT10",221,221,16,442,7,2,127
"PDC000120","b91a0a02-f3a0-11ea-b1fd-0aad30af8a83","Prospective Breast BI Proteome v2","Prospective Breast BI Proteome","N/A","CPTAC2 Confirmatory","Clinical Proteomic Tumor Analysis Consortium","Breast Invasive Carcinoma;Other","Breast;Not Reported","Proteome","TMT10",425,425,16,850,6,2,127
"PDC000119","bd70311c-57b8-11e8-b07a-00a098d917f8","Prospective OV Phosphoproteome S038-3","Prospective Ovarian PNNL Phosphoproteome Lumos","N/A","CPTAC2 Confirmatory","Clinical Proteomic Tumor Analysis Consortium","Ovarian Serous Cystadenocarcinoma;Other","Ovary;Not Reported","Phosphoproteome","TMT10",144,144,13,288,6,"",95
"PDC000118","bcdeeba0-57b8-11e8-b07a-00a098d917f8","Prospective OV Proteome S038-2","Prospective Ovarian PNNL Proteome Qeplus","N/A","CPTAC2 Confirmatory","Clinical Proteomic Tumor Analysis Consortium","Ovarian Serous Cystadenocarcinoma;Other","Ovary;Not Reported","Proteome","TMT10",288,288,13,576,5,"",95
"PDC000117","bc23a4a1-57b8-11e8-b07a-00a098d917f8","Prospective COAD Phosphoproteome S037-3","Prospective Colon PNNL Phosphoproteome Lumos","N/A","CPTAC2 Confirmatory","Clinical Proteomic Tumor Analysis Consortium","Colon Adenocarcinoma;Other","Colon;Not Reported","Phosphoproteome","TMT10",132,132,21,264,5,"",102
"PDC000116","bbc1441e-57b8-11e8-b07a-00a098d917f8","Prospective COAD Proteome S037-2","Prospective Colon PNNL Proteome Qeplus","N/A","CPTAC2 Confirmatory","Clinical Proteomic Tumor Analysis Consortium","Colon Adenocarcinoma;Other","Colon;Not Reported","Proteome","TMT10",264,264,20,528,4,"",102
"PDC000115","bb076b33-57b8-11e8-b07a-00a098d917f8","TCGA OV Phosphoproteome S020-4","TCGA Ovarian PNNL Phosphoproteome Velos Qexactive","N/A","CPTAC2 Retrospective","Clinical Proteomic Tumor Analysis Consortium","Ovarian Serous Cystadenocarcinoma;Other","Ovary;Not Reported","Phosphoproteome","iTRAQ4",276,276,7,552,5,"",70
"PDC000114","baa8ae46-57b8-11e8-b07a-00a098d917f8","TCGA OV Proteome S020-3","TCGA Ovarian PNNL Proteome","N/A","CPTAC2 Retrospective","Clinical Proteomic Tumor Analysis Consortium","Ovarian Serous Cystadenocarcinoma;Other","Ovary;Not Reported","Proteome","iTRAQ4",672,672,8,1344,4,"",85
"PDC000113","ba4e17a5-57b8-11e8-b07a-00a098d917f8","TCGA OV Proteome S020-2","TCGA Ovarian JHU Proteome","N/A","CPTAC2 Retrospective","Clinical Proteomic Tumor Analysis Consortium","Ovarian Serous Cystadenocarcinoma;Other","Ovary;Not Reported","Proteome","iTRAQ4",1100,1100,8,2200,4,"",124
"PDC000112","b9f2ccc5-57b8-11e8-b07a-00a098d917f8","TCGA OV Glycoproteome S020-1","TCGA Ovarian JHU Glycoproteome","N/A","CPTAC2 Retrospective","Clinical Proteomic Tumor Analysis Consortium","Ovarian Serous Cystadenocarcinoma;Other","Ovary;Not Reported","Glycoproteome","iTRAQ4",132,132,7,264,5,"",124
"PDC000111","b998098f-57b8-11e8-b07a-00a098d917f8","TCGA COAD Proteome S016-1","TCGA Colon Cancer Proteome","N/A","CPTAC2 Retrospective","Clinical Proteomic Tumor Analysis Consortium","Colon Adenocarcinoma;Rectum Adenocarcinoma","Colon;Rectum","Proteome","Label Free",1425,1425,19,2850,4,"",90
"PDC000110","bc81da61-57b8-11e8-b07a-00a098d917f8","Prospective OV Proteome S038-1","Prospective Ovarian JHU Proteome","N/A","CPTAC2 Confirmatory","Clinical Proteomic Tumor Analysis Consortium","Ovarian Serous Cystadenocarcinoma;Other","Ovary;Not Reported","Proteome","TMT10",312,312,13,624,7,"",97
"PDC000109","bb67ec40-57b8-11e8-b07a-00a098d917f8","Prospective COAD Proteome S037-1","Prospective Colon VU Proteome","N/A","CPTAC2 Confirmatory","Clinical Proteomic Tumor Analysis Consortium","Colon Adenocarcinoma","Colon","Proteome","Label Free",600,600,18,1200,5,"",100
